"p","t","y","e","d","i","expected_years_saved","expected_years_saved_L","expected_years_saved_U","infs","prob_success","benefit","ratio"
0.4,3,2.5,0.7,0.3,5e+05,1.23832619305682,1.23832619305682,1.82798709150547,168.56,0.784,130024.250270966,771.382595342704
0.4,3,2.5,0.7,0.4,1e+06,1.23832619305682,1.23832619305682,1.82798709150547,168.56,0.784,346731.33405591,2057.02025424721
0.4,3,2.5,0.7,0.4,5e+05,1.23832619305682,1.23832619305682,1.82798709150547,168.56,0.784,173365.667027955,1028.5101271236
0.4,3,2.5,0.7,0.5,1e+06,1.23832619305682,1.23832619305682,1.82798709150547,168.56,0.784,433414.167569887,2571.27531780901
0.4,3,2.5,0.7,0.5,5e+05,1.23832619305682,1.23832619305682,1.82798709150547,168.56,0.784,216707.083784944,1285.63765890451
0.4,3,2.5,0.7,0.6,1e+06,1.23832619305682,1.23832619305682,1.82798709150547,168.56,0.784,520097.001083864,3085.53038137081
0.4,3,2.5,0.7,0.6,5e+05,1.23832619305682,1.23832619305682,1.82798709150547,168.56,0.784,260048.500541932,1542.76519068541
0.4,3,2.5,0.7,0.7,1e+06,1.23832619305682,1.23832619305682,1.82798709150547,168.56,0.784,606779.834597842,3599.78544493262
0.4,3,2.5,0.7,0.7,5e+05,1.23832619305682,1.23832619305682,1.82798709150547,168.56,0.784,303389.917298921,1799.89272246631
0.4,3,2.5,0.7,0.8,1e+06,1.23832619305682,1.23832619305682,1.82798709150547,168.56,0.784,693462.668111819,4114.04050849442
0.4,3,2.5,0.7,0.8,5e+05,1.23832619305682,1.23832619305682,1.82798709150547,168.56,0.784,346731.33405591,2057.02025424721
0.4,3,2.5,0.7,0.9,1e+06,1.23832619305682,1.23832619305682,1.82798709150547,168.56,0.784,780145.501625797,4628.29557205622
0.4,3,2.5,0.7,0.9,5e+05,1.23832619305682,1.23832619305682,1.82798709150547,168.56,0.784,390072.750812898,2314.14778602811
0.4,3,2.5,0.9,0.1,1e+06,1.23832619305682,1.23832619305682,1.82798709150547,160.72,0.784,111449.357375114,693.43801253804
0.4,3,2.5,0.9,0.1,5e+05,1.23832619305682,1.23832619305682,1.82798709150547,160.72,0.784,55724.6786875569,346.71900626902
0.4,3,2.5,0.9,0.2,1e+06,1.23832619305682,1.23832619305682,1.82798709150547,160.72,0.784,222898.714750228,1386.87602507608
